concentration,Hb SET 1,Hb SET 2,Hb SET 3
0,47054,47114,47192
1,43213,43247,43056
2,39695,39623,39586
3,36750,36657,36606
4,33911,33628,33845
5,31302,31017,30987
6,28931,28986,28834
7,27263,27217,26832
8,25169,25527,24870
9,23478,23213,23144
10,21963,21891,21903
11,20386,20704,20775
12,19548,19182,19900
13,18483,18370,18405
14,17323,17536,17172
15,16620,16638,16500
16,15971,15729,15602
17,15202,15096,15076
18,13928,14112,14240
19,13749,13380,13814
20,12843,12933,13089
21,12640,12510,12862
